MCC,Название,Группа
3786,"Отели, мотели, курорты",Отели и мотели
3787,"Отели, мотели, курорты",Отели и мотели
3788,"Отели, мотели, курорты",Отели и мотели
3789,"Отели, мотели, курорты",Отели и мотели
3790,"Отели, мотели, курорты",Отели и мотели
3791,"Отели, мотели, курорты",Отели и мотели
3792,"Отели, мотели, курорты",Отели и мотели
3793,"Отели, мотели, курорты",Отели и мотели
3794,"Отели, мотели, курорты",Отели и мотели
3795,"Отели, мотели, курорты",Отели и мотели
3796,"Отели, мотели, курорты",Отели и мотели
3797,"Отели, мотели, курорты",Отели и мотели
3798,"Отели, мотели, курорты",Отели и мотели
3799,"Отели, мотели, курорты",Отели и мотели
3501,Holiday Inns,Отели и мотели
3502,Best Western Hotels,Отели и мотели
3503,Sheraton Hotels,Отели и мотели
3504,Hilton Hotels,Отели и мотели
3505,Forte Hotels,Отели и мотели
3506,Golden Tulip Hotels,Отели и мотели
3507,Friendship Inns,Отели и мотели
3508,Quality Inns,Отели и мотели
3509,Marriott Hotels,Отели и мотели
3510,Days Inn,Отели и мотели
3511,Arabella Hotels,Отели и мотели
3512,Inter-continental Hotels,Отели и мотели
3513,Westin Hotels,Отели и мотели
3515,Rodeway Inns,Отели и мотели
3516,La Quinta Motor Inns,Отели и мотели
3517,Americana Hotels,Отели и мотели
3518,Sol Hotels,Отели и мотели
3519,Pullman International Hotels,Отели и мотели
3520,Meridien Hotels,Отели и мотели
3521,Crest Hotels (see Forte Hotels),Отели и мотели
3522,Tokyo Hotel,Отели и мотели
3523,Pennsula Hotel,Отели и мотели
3524,Welcomgroup Hotels,Отели и мотели
3525,Dunfey Hotels,Отели и мотели
3527,Downtowner-passport Hotel,Отели и мотели
3528,Red Lion Hotels,Отели и мотели
3529,Cp Hotels,Отели и мотели
3530,Renaissance Hotels,Отели и мотели
3531,Astir Hotels,Отели и мотели
3532,Sun Route Hotels,Отели и мотели
3533,Hotel Ibis,Отели и мотели
3534,Southern Pacific Hotels,Отели и мотели
3535,Hilton International,Отели и мотели
3536,Amfac Hotels,Отели и мотели
3537,Ana Hotel,Отели и мотели
3538,Concorde Hotels,Отели и мотели
3540,Iberotel Hotels,Отели и мотели
3541,Hotel Okura,Отели и мотели
3542,Royal Hotels,Отели и мотели
3543,Four Seasons Hotels,Отели и мотели
3544,Ciga Hotels,Отели и мотели
3545,Shangri-la International,Отели и мотели
3548,Hoteles Melia,Отели и мотели
3549,Auberge Des Governeurs,Отели и мотели
3550,Regal 8 Inns,Отели и мотели
3552,Coast Hotels,Отели и мотели
3553,Park Inns International,Отели и мотели
3558,Jolly Hotels,Отели и мотели
3562,Comfort Inns,Отели и мотели
3563,Journey’s End Motls,Отели и мотели
3565,Relax Inns,Отели и мотели
3568,Ladbroke Hotels,Отели и мотели
3570,Forum Hotels,Отели и мотели
3572,Miyako Hotels,Отели и мотели
3573,Sandman Hotels,Отели и мотели
3574,Venture Inns,Отели и мотели
3575,Vagabond Hotels,Отели и мотели
3577,Mandarin Oriental Hotel,Отели и мотели
3579,Hotel Mercure,Отели и мотели
3581,Delta Hotel,Отели и мотели
3583,Sas Hotels,Отели и мотели
3584,Princess Hotels International,Отели и мотели
3585,Hungar Hotels,Отели и мотели
3586,Sokos Hotels,Отели и мотели
3587,Doral Hotels,Отели и мотели
3588,Helmsley Hotels,Отели и мотели
3590,Fairmont Hotels,Отели и мотели
3591,Sonesta Hotels,Отели и мотели
3592,Omni Hotels,Отели и мотели
3593,Cunard Hotels,Отели и мотели
